Year,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
2022,Idaho,Male,Under 1 year,0.0,40.0,0.0,0.0
2022,Idaho,Male,1-4 years,0.0,0.0,0.0,0.0
2022,Idaho,Male,5-14 years,0.0,21.0,0.0,0.0
2022,Idaho,Male,15-24 years,0.0,133.0,0.0,0.0
2022,Idaho,Male,25-34 years,0.0,242.0,0.0,0.0
2022,Idaho,Male,35-44 years,14.0,305.0,14.0,0.0
2022,Idaho,Male,45-54 years,26.0,539.0,29.0,0.0
2022,Idaho,Male,55-64 years,82.0,1130.0,65.0,0.0
2022,Idaho,Male,65-74 years,140.0,2044.0,125.0,0.0
2022,Idaho,Male,75-84 years,181.0,2512.0,194.0,17.0
2022,Idaho,Male,85 years and over,175.0,2086.0,152.0,0.0
2022,Idaho,Female,Under 1 year,0.0,55.0,0.0,0.0
2022,Idaho,Female,1-4 years,0.0,0.0,0.0,0.0
2022,Idaho,Female,5-14 years,0.0,14.0,0.0,0.0
2022,Idaho,Female,15-24 years,0.0,56.0,0.0,0.0
2022,Idaho,Female,25-34 years,0.0,102.0,0.0,0.0
2022,Idaho,Female,35-44 years,0.0,174.0,10.0,0.0
2022,Idaho,Female,45-54 years,22.0,291.0,21.0,0.0
2022,Idaho,Female,55-64 years,47.0,774.0,49.0,0.0
2022,Idaho,Female,65-74 years,86.0,1441.0,93.0,0.0
2022,Idaho,Female,75-84 years,127.0,2209.0,141.0,0.0
2022,Idaho,Female,85 years and over,162.0,2897.0,154.0,13.0
2023,Idaho,Male,Under 1 year,0.0,33.0,0.0,0.0
2023,Idaho,Male,1-4 years,0.0,0.0,0.0,0.0
2023,Idaho,Male,5-14 years,0.0,14.0,0.0,0.0
2023,Idaho,Male,15-24 years,0.0,105.0,0.0,0.0
2023,Idaho,Male,25-34 years,0.0,171.0,0.0,0.0
2023,Idaho,Male,35-44 years,0.0,257.0,0.0,0.0
2023,Idaho,Male,45-54 years,0.0,310.0,0.0,0.0
2023,Idaho,Male,55-64 years,0.0,741.0,23.0,0.0
2023,Idaho,Male,65-74 years,27.0,1342.0,65.0,0.0
2023,Idaho,Male,75-84 years,41.0,1777.0,86.0,0.0
2023,Idaho,Male,85 years and over,30.0,1379.0,72.0,0.0
2023,Idaho,Female,Under 1 year,0.0,22.0,0.0,0.0
2023,Idaho,Female,1-4 years,0.0,0.0,0.0,0.0
2023,Idaho,Female,5-14 years,0.0,0.0,0.0,0.0
2023,Idaho,Female,15-24 years,0.0,41.0,0.0,0.0
2023,Idaho,Female,25-34 years,0.0,68.0,0.0,0.0
2023,Idaho,Female,35-44 years,0.0,135.0,0.0,0.0
2023,Idaho,Female,45-54 years,0.0,199.0,0.0,0.0
2023,Idaho,Female,55-64 years,0.0,475.0,22.0,0.0
2023,Idaho,Female,65-74 years,17.0,979.0,52.0,0.0
2023,Idaho,Female,75-84 years,35.0,1501.0,67.0,0.0
2023,Idaho,Female,85 years and over,33.0,1916.0,88.0,0.0
2020,Illinois,Male,Under 1 year,0.0,384.0,0.0,0.0
2020,Illinois,Male,1-4 years,0.0,62.0,0.0,0.0
2020,Illinois,Male,5-14 years,0.0,105.0,0.0,0.0
2020,Illinois,Male,15-24 years,16.0,996.0,14.0,0.0
2020,Illinois,Male,25-34 years,74.0,1892.0,59.0,0.0
2020,Illinois,Male,35-44 years,204.0,2454.0,144.0,0.0
2020,Illinois,Male,45-54 years,527.0,4475.0,395.0,0.0
2020,Illinois,Male,55-64 years,1195.0,10262.0,1043.0,20.0
2020,Illinois,Male,65-74 years,2168.0,14526.0,1915.0,17.0
2020,Illinois,Male,75-84 years,2482.0,15734.0,2289.0,24.0
2020,Illinois,Male,85 years and over,2355.0,15513.0,2030.0,23.0
2020,Illinois,Female,Under 1 year,0.0,294.0,0.0,0.0
2020,Illinois,Female,1-4 years,0.0,56.0,0.0,0.0
2020,Illinois,Female,5-14 years,0.0,85.0,0.0,0.0
2020,Illinois,Female,15-24 years,10.0,344.0,0.0,0.0
2020,Illinois,Female,25-34 years,41.0,667.0,37.0,0.0
2020,Illinois,Female,35-44 years,85.0,1205.0,83.0,0.0
2020,Illinois,Female,45-54 years,234.0,2477.0,229.0,0.0
2020,Illinois,Female,55-64 years,652.0,6277.0,662.0,19.0
2020,Illinois,Female,65-74 years,1294.0,10534.0,1184.0,17.0
2020,Illinois,Female,75-84 years,1945.0,14927.0,1772.0,30.0
2020,Illinois,Female,85 years and over,3435.0,25451.0,2531.0,47.0
2021,Illinois,Male,Under 1 year,0.0,392.0,11.0,0.0
2021,Illinois,Male,1-4 years,0.0,56.0,0.0,0.0
2021,Illinois,Male,5-14 years,0.0,118.0,0.0,0.0
2021,Illinois,Male,15-24 years,21.0,1060.0,19.0,0.0
2021,Illinois,Male,25-34 years,106.0,1987.0,77.0,0.0
2021,Illinois,Male,35-44 years,234.0,2586.0,192.0,0.0
2021,Illinois,Male,45-54 years,560.0,4575.0,458.0,0.0
2021,Illinois,Male,55-64 years,1172.0,9954.0,1080.0,0.0
2021,Illinois,Male,65-74 years,1629.0,14151.0,1705.0,0.0
2021,Illinois,Male,75-84 years,1615.0,14532.0,1810.0,0.0
2021,Illinois,Male,85 years and over,1273.0,13681.0,1451.0,0.0
2021,Illinois,Female,Under 1 year,0.0,310.0,0.0,0.0
2021,Illinois,Female,1-4 years,0.0,58.0,0.0,0.0
2021,Illinois,Female,5-14 years,0.0,86.0,0.0,0.0
2021,Illinois,Female,15-24 years,16.0,351.0,22.0,0.0
2021,Illinois,Female,25-34 years,66.0,750.0,45.0,0.0
2021,Illinois,Female,35-44 years,149.0,1286.0,120.0,0.0
2021,Illinois,Female,45-54 years,294.0,2556.0,272.0,0.0
2021,Illinois,Female,55-64 years,690.0,6120.0,697.0,0.0
2021,Illinois,Female,65-74 years,1166.0,10514.0,1221.0,0.0
2021,Illinois,Female,75-84 years,1279.0,14037.0,1422.0,0.0
2021,Illinois,Female,85 years and over,1506.0,21784.0,1588.0,0.0
2022,Illinois,Male,Under 1 year,0.0,364.0,0.0,0.0
2022,Illinois,Male,1-4 years,0.0,78.0,0.0,0.0
2022,Illinois,Male,5-14 years,0.0,115.0,0.0,0.0
2022,Illinois,Male,15-24 years,11.0,946.0,14.0,0.0
2022,Illinois,Male,25-34 years,54.0,1864.0,52.0,0.0
2022,Illinois,Male,35-44 years,116.0,2478.0,102.0,0.0
2022,Illinois,Male,45-54 years,263.0,4109.0,253.0,10.0
2022,Illinois,Male,55-64 years,667.0,9301.0,722.0,18.0
2022,Illinois,Male,65-74 years,1070.0,13719.0,1242.0,33.0
2022,Illinois,Male,75-84 years,1312.0,15052.0,1496.0,22.0
2022,Illinois,Male,85 years and over,1280.0,13798.0,1300.0,27.0
2022,Illinois,Female,Under 1 year,0.0,303.0,0.0,0.0
2022,Illinois,Female,1-4 years,0.0,60.0,0.0,0.0
2022,Illinois,Female,5-14 years,0.0,97.0,0.0,0.0
2022,Illinois,Female,15-24 years,0.0,333.0,0.0,0.0
2022,Illinois,Female,25-34 years,29.0,733.0,33.0,0.0
2022,Illinois,Female,35-44 years,63.0,1231.0,60.0,0.0
2022,Illinois,Female,45-54 years,163.0,2315.0,178.0,0.0
2022,Illinois,Female,55-64 years,411.0,5788.0,502.0,20.0
2022,Illinois,Female,65-74 years,732.0,10294.0,894.0,20.0
2022,Illinois,Female,75-84 years,994.0,14339.0,1186.0,34.0
2022,Illinois,Female,85 years and over,1534.0,22132.0,1586.0,61.0
2023,Illinois,Male,Under 1 year,0.0,270.0,0.0,0.0
2023,Illinois,Male,1-4 years,0.0,53.0,0.0,0.0
2023,Illinois,Male,5-14 years,0.0,82.0,0.0,0.0
2023,Illinois,Male,15-24 years,0.0,631.0,0.0,0.0
2023,Illinois,Male,25-34 years,0.0,1178.0,21.0,0.0
2023,Illinois,Male,35-44 years,0.0,1608.0,32.0,0.0
2023,Illinois,Male,45-54 years,19.0,2599.0,89.0,0.0
2023,Illinois,Male,55-64 years,58.0,5815.0,284.0,0.0
2023,Illinois,Male,65-74 years,160.0,8896.0,502.0,0.0
2023,Illinois,Male,75-84 years,215.0,9884.0,664.0,13.0
2023,Illinois,Male,85 years and over,296.0,8925.0,603.0,0.0
2023,Illinois,Female,Under 1 year,0.0,183.0,0.0,0.0
2023,Illinois,Female,1-4 years,0.0,36.0,0.0,0.0
2023,Illinois,Female,5-14 years,0.0,57.0,0.0,0.0
2023,Illinois,Female,15-24 years,0.0,214.0,0.0,0.0
2023,Illinois,Female,25-34 years,0.0,447.0,13.0,0.0
2023,Illinois,Female,35-44 years,0.0,820.0,26.0,0.0
2023,Illinois,Female,45-54 years,19.0,1400.0,64.0,0.0
2023,Illinois,Female,55-64 years,58.0,3544.0,169.0,0.0
2023,Illinois,Female,65-74 years,106.0,6439.0,383.0,0.0
2023,Illinois,Female,75-84 years,197.0,9646.0,553.0,14.0
2023,Illinois,Female,85 years and over,338.0,14187.0,717.0,23.0
2020,Indiana,Male,Under 1 year,0.0,262.0,0.0,0.0
2020,Indiana,Male,1-4 years,0.0,51.0,0.0,0.0
2020,Indiana,Male,5-14 years,0.0,84.0,0.0,0.0
2020,Indiana,Male,15-24 years,0.0,680.0,0.0,0.0
2020,Indiana,Male,25-34 years,20.0,1255.0,28.0,0.0
2020,Indiana,Male,35-44 years,61.0,1541.0,75.0,0.0
2020,Indiana,Male,45-54 years,162.0,2704.0,200.0,0.0
2020,Indiana,Female,Under 1 year,0.0,245.0,0.0,0.0
2020,Indiana,Female,1-4 years,0.0,38.0,0.0,0.0
2020,Indiana,Female,5-14 years,0.0,61.0,0.0,0.0
2020,Indiana,Female,15-24 years,0.0,232.0,0.0,0.0
2020,Indiana,Female,25-34 years,0.0,557.0,13.0,0.0
2020,Indiana,Female,35-44 years,40.0,816.0,52.0,0.0
2020,Indiana,Female,45-54 years,113.0,1652.0,162.0,0.0
2020,Indiana,Female,55-64 years,350.0,4110.0,473.0,12.0
2020,Indiana,Female,65-74 years,784.0,6879.0,842.0,17.0
2020,Indiana,Female,75-84 years,1307.0,9533.0,1162.0,22.0
2020,Indiana,Female,85 years and over,2178.0,14324.0,1398.0,32.0
2021,Indiana,Male,Under 1 year,0.0,274.0,0.0,0.0
2021,Indiana,Male,1-4 years,0.0,52.0,0.0,0.0
2021,Indiana,Male,5-14 years,0.0,87.0,0.0,0.0
2021,Indiana,Male,15-24 years,23.0,725.0,22.0,0.0
2021,Indiana,Male,25-34 years,63.0,1385.0,68.0,0.0
2021,Indiana,Male,35-44 years,164.0,1766.0,146.0,0.0
2021,Indiana,Male,45-54 years,449.0,3051.0,387.0,0.0
2021,Indiana,Male,55-64 years,984.0,6719.0,931.0,0.0
2021,Indiana,Male,65-74 years,1453.0,9864.0,1459.0,0.0
2021,Indiana,Male,75-84 years,1394.0,9752.0,1418.0,0.0
2021,Indiana,Male,85 years and over,947.0,7878.0,916.0,0.0
2021,Indiana,Female,Under 1 year,0.0,218.0,0.0,0.0
2021,Indiana,Female,1-4 years,0.0,51.0,0.0,0.0
2021,Indiana,Female,5-14 years,0.0,58.0,0.0,0.0
2021,Indiana,Female,15-24 years,14.0,284.0,19.0,0.0
2021,Indiana,Female,25-34 years,41.0,596.0,42.0,0.0
2021,Indiana,Female,35-44 years,118.0,1024.0,106.0,0.0
2021,Indiana,Female,45-54 years,279.0,1846.0,242.0,0.0
2022,Iowa,Female,85 years and over,443.0,6987.0,425.0,37.0
2021,Indiana,Female,55-64 years,672.0,4389.0,661.0,0.0
2021,Indiana,Female,65-74 years,1045.0,7452.0,1021.0,0.0
2021,Indiana,Female,75-84 years,1149.0,9380.0,1039.0,0.0
2021,Indiana,Female,85 years and over,1241.0,12471.0,1009.0,0.0
2022,Indiana,Male,Under 1 year,0.0,335.0,0.0,0.0
2022,Indiana,Male,1-4 years,0.0,59.0,0.0,0.0
2022,Indiana,Male,5-14 years,0.0,88.0,0.0,0.0
2022,Indiana,Male,15-24 years,12.0,601.0,0.0,0.0
2022,Indiana,Male,25-34 years,38.0,1197.0,40.0,0.0
2022,Indiana,Male,35-44 years,76.0,1663.0,73.0,0.0
2022,Indiana,Male,45-54 years,215.0,2778.0,196.0,0.0
2022,Indiana,Male,55-64 years,493.0,6134.0,551.0,14.0
2022,Indiana,Male,65-74 years,799.0,9296.0,977.0,27.0
2022,Indiana,Male,75-84 years,896.0,9823.0,1014.0,28.0
2022,Indiana,Male,85 years and over,712.0,7613.0,711.0,21.0
2022,Indiana,Female,Under 1 year,0.0,240.0,0.0,0.0
2022,Indiana,Female,1-4 years,0.0,52.0,0.0,0.0
2022,Indiana,Female,5-14 years,0.0,48.0,0.0,0.0
2022,Indiana,Female,15-24 years,11.0,236.0,10.0,0.0
2022,Indiana,Female,25-34 years,34.0,570.0,27.0,0.0
2022,Indiana,Female,35-44 years,50.0,896.0,59.0,0.0
2022,Indiana,Female,45-54 years,135.0,1680.0,154.0,0.0
2022,Indiana,Female,55-64 years,350.0,4047.0,477.0,24.0
2022,Indiana,Female,65-74 years,620.0,6923.0,717.0,25.0
2022,Indiana,Female,75-84 years,718.0,9465.0,831.0,38.0
2022,Indiana,Female,85 years and over,859.0,12346.0,819.0,25.0
2023,Iowa,Male,75-84 years,78.0,3029.0,186.0,10.0
2023,Indiana,Male,Under 1 year,0.0,169.0,0.0,0.0
2023,Indiana,Male,1-4 years,0.0,26.0,0.0,0.0
2023,Indiana,Male,5-14 years,0.0,51.0,0.0,0.0
2023,Indiana,Male,15-24 years,0.0,391.0,0.0,0.0
2023,Indiana,Male,25-34 years,0.0,626.0,15.0,0.0
2023,Indiana,Male,35-44 years,0.0,967.0,37.0,0.0
2023,Indiana,Male,45-54 years,14.0,1662.0,78.0,0.0
2023,Indiana,Male,55-64 years,48.0,3639.0,228.0,0.0
2023,Indiana,Male,65-74 years,110.0,5758.0,410.0,10.0
2023,Indiana,Male,75-84 years,142.0,6220.0,448.0,10.0
2023,Indiana,Male,85 years and over,186.0,5059.0,365.0,0.0
2023,Indiana,Female,Under 1 year,0.0,141.0,0.0,0.0
2023,Indiana,Female,1-4 years,0.0,25.0,0.0,0.0
2023,Indiana,Female,5-14 years,0.0,38.0,0.0,0.0
2023,Indiana,Female,15-24 years,0.0,127.0,0.0,0.0
2023,Indiana,Female,25-34 years,0.0,257.0,0.0,0.0
2023,Indiana,Female,35-44 years,0.0,522.0,22.0,0.0
2023,Indiana,Female,45-54 years,12.0,980.0,68.0,0.0
2023,Indiana,Female,55-64 years,48.0,2437.0,198.0,0.0
2023,Indiana,Female,65-74 years,85.0,4385.0,329.0,0.0
2023,Indiana,Female,75-84 years,151.0,6192.0,398.0,14.0
2023,Indiana,Female,85 years and over,213.0,8035.0,452.0,20.0
2020,Iowa,Male,Under 1 year,0.0,80.0,0.0,0.0
2020,Iowa,Male,1-4 years,0.0,23.0,0.0,0.0
2020,Iowa,Male,5-14 years,0.0,37.0,0.0,0.0
2020,Iowa,Male,15-24 years,0.0,221.0,0.0,0.0
2023,Iowa,Male,85 years and over,106.0,2908.0,195.0,11.0
2020,Iowa,Male,25-34 years,0.0,358.0,0.0,0.0
2020,Iowa,Male,35-44 years,30.0,510.0,20.0,0.0
2020,Iowa,Male,45-54 years,83.0,990.0,71.0,0.0
2020,Iowa,Male,55-64 years,253.0,2474.0,201.0,0.0
2020,Iowa,Male,65-74 years,474.0,3844.0,403.0,11.0
2020,Iowa,Male,75-84 years,739.0,4520.0,538.0,10.0
2020,Iowa,Male,85 years and over,893.0,5051.0,610.0,0.0
2020,Iowa,Female,Under 1 year,0.0,68.0,0.0,0.0
2020,Iowa,Female,1-4 years,0.0,13.0,0.0,0.0
2020,Iowa,Female,5-14 years,0.0,20.0,0.0,0.0
2020,Iowa,Female,15-24 years,0.0,74.0,0.0,0.0
2020,Iowa,Female,25-34 years,11.0,155.0,11.0,0.0
2020,Iowa,Female,35-44 years,10.0,262.0,10.0,0.0
2020,Iowa,Female,45-54 years,43.0,568.0,41.0,0.0
2020,Iowa,Female,55-64 years,132.0,1484.0,119.0,0.0
2020,Iowa,Female,65-74 years,319.0,2770.0,268.0,13.0
2020,Iowa,Female,75-84 years,602.0,4138.0,404.0,12.0
2020,Iowa,Female,85 years and over,1168.0,7998.0,666.0,25.0
2021,Iowa,Male,Under 1 year,0.0,80.0,0.0,0.0
2021,Iowa,Male,1-4 years,0.0,22.0,0.0,0.0
2021,Iowa,Male,5-14 years,0.0,33.0,0.0,0.0
2021,Iowa,Male,15-24 years,0.0,189.0,0.0,0.0
2021,Iowa,Male,25-34 years,15.0,346.0,12.0,0.0
2021,Iowa,Male,35-44 years,62.0,565.0,40.0,0.0
2021,Iowa,Male,45-54 years,120.0,1006.0,88.0,0.0
2021,Iowa,Male,55-64 years,306.0,2541.0,241.0,0.0
2021,Iowa,Male,65-74 years,466.0,4042.0,409.0,0.0
2021,Iowa,Male,75-84 years,539.0,4492.0,469.0,0.0
2021,Iowa,Male,85 years and over,443.0,4379.0,422.0,0.0
2021,Iowa,Female,Under 1 year,0.0,53.0,0.0,0.0
2021,Iowa,Female,1-4 years,0.0,0.0,0.0,0.0
2021,Iowa,Female,5-14 years,0.0,21.0,0.0,0.0
2021,Iowa,Female,15-24 years,0.0,67.0,0.0,0.0
2021,Iowa,Female,25-34 years,21.0,155.0,0.0,0.0
2021,Iowa,Female,35-44 years,41.0,304.0,19.0,0.0
2021,Iowa,Female,45-54 years,87.0,609.0,57.0,0.0
2021,Iowa,Female,55-64 years,208.0,1615.0,171.0,0.0
2021,Iowa,Female,65-74 years,314.0,2772.0,274.0,0.0
2021,Iowa,Female,75-84 years,353.0,3950.0,331.0,0.0
2021,Iowa,Female,85 years and over,540.0,6749.0,494.0,0.0
2022,Iowa,Male,Under 1 year,0.0,100.0,0.0,0.0
2022,Iowa,Male,1-4 years,0.0,20.0,0.0,0.0
2022,Iowa,Male,5-14 years,0.0,36.0,0.0,0.0
2022,Iowa,Male,15-24 years,0.0,195.0,0.0,0.0
2022,Iowa,Male,25-34 years,0.0,346.0,0.0,0.0
2022,Iowa,Male,35-44 years,20.0,537.0,12.0,0.0
2022,Iowa,Male,45-54 years,77.0,998.0,58.0,0.0
2022,Iowa,Male,55-64 years,176.0,2371.0,179.0,0.0
2022,Iowa,Male,65-74 years,229.0,3818.0,258.0,0.0
2022,Iowa,Male,75-84 years,335.0,4520.0,327.0,18.0
2022,Iowa,Male,85 years and over,346.0,4444.0,375.0,18.0
2022,Iowa,Female,Under 1 year,0.0,71.0,0.0,0.0
2022,Iowa,Female,1-4 years,0.0,18.0,0.0,0.0
2022,Iowa,Female,5-14 years,0.0,29.0,0.0,0.0
2022,Iowa,Female,15-24 years,0.0,76.0,0.0,0.0
2022,Iowa,Female,25-34 years,0.0,137.0,0.0,0.0
2022,Iowa,Female,35-44 years,17.0,272.0,22.0,0.0
2022,Iowa,Female,45-54 years,45.0,570.0,41.0,0.0
2022,Iowa,Female,55-64 years,109.0,1459.0,122.0,0.0
2022,Iowa,Female,65-74 years,195.0,2738.0,219.0,11.0
2022,Iowa,Female,75-84 years,232.0,4045.0,269.0,20.0
2023,Iowa,Male,Under 1 year,0.0,47.0,0.0,0.0
2023,Iowa,Male,1-4 years,0.0,11.0,0.0,0.0
2023,Iowa,Male,5-14 years,0.0,17.0,0.0,0.0
2023,Iowa,Male,15-24 years,0.0,117.0,0.0,0.0
2023,Iowa,Male,25-34 years,0.0,196.0,0.0,0.0
2023,Iowa,Male,35-44 years,0.0,316.0,0.0,0.0
2023,Iowa,Male,45-54 years,0.0,600.0,24.0,0.0
2023,Iowa,Male,55-64 years,20.0,1425.0,56.0,0.0
2023,Iowa,Male,65-74 years,50.0,2667.0,157.0,0.0
2023,Iowa,Female,Under 1 year,0.0,35.0,0.0,0.0
2023,Iowa,Female,1-4 years,0.0,0.0,0.0,0.0
2023,Iowa,Female,5-14 years,0.0,14.0,0.0,0.0
2023,Iowa,Female,15-24 years,0.0,56.0,0.0,0.0
2023,Iowa,Female,25-34 years,0.0,92.0,0.0,0.0
2023,Iowa,Female,35-44 years,0.0,162.0,13.0,0.0
2023,Iowa,Female,45-54 years,0.0,357.0,14.0,0.0
2023,Iowa,Female,55-64 years,12.0,881.0,53.0,0.0
2023,Iowa,Female,65-74 years,28.0,1845.0,91.0,0.0
2023,Iowa,Female,75-84 years,48.0,2806.0,142.0,0.0
2023,Iowa,Female,85 years and over,129.0,4730.0,217.0,12.0
2020,Kansas,Male,Under 1 year,0.0,112.0,0.0,0.0
2020,Kansas,Male,1-4 years,0.0,14.0,0.0,0.0
2020,Kansas,Male,5-14 years,0.0,32.0,0.0,0.0
2020,Kansas,Male,15-24 years,0.0,277.0,0.0,0.0
2020,Kansas,Male,25-34 years,13.0,421.0,13.0,0.0
2020,Kansas,Male,35-44 years,27.0,529.0,26.0,0.0
2020,Kansas,Male,45-54 years,80.0,914.0,57.0,0.0
2020,Kansas,Male,55-64 years,203.0,2315.0,206.0,11.0
2020,Kansas,Male,65-74 years,367.0,3504.0,369.0,11.0
2020,Kansas,Male,75-84 years,613.0,3988.0,493.0,19.0
2020,Kansas,Male,85 years and over,581.0,4130.0,460.0,11.0
2020,Kansas,Female,Under 1 year,0.0,84.0,0.0,0.0
2020,Kansas,Female,1-4 years,0.0,0.0,0.0,0.0
2020,Kansas,Female,5-14 years,0.0,22.0,0.0,0.0
2020,Kansas,Female,15-24 years,0.0,82.0,0.0,0.0
2020,Kansas,Female,25-34 years,0.0,154.0,0.0,0.0
2020,Kansas,Female,35-44 years,15.0,293.0,13.0,0.0
2020,Kansas,Female,45-54 years,47.0,585.0,48.0,0.0
2020,Kansas,Female,55-64 years,106.0,1483.0,121.0,10.0
2020,Kansas,Female,65-74 years,264.0,2494.0,252.0,12.0
2020,Kansas,Female,75-84 years,417.0,3502.0,338.0,19.0
2020,Kansas,Female,85 years and over,759.0,6179.0,524.0,16.0
2021,Kansas,Male,Under 1 year,0.0,89.0,0.0,0.0
2021,Kansas,Male,1-4 years,0.0,19.0,0.0,0.0
2021,Kansas,Male,5-14 years,0.0,30.0,0.0,0.0
2021,Kansas,Male,15-24 years,12.0,283.0,0.0,0.0
2021,Kansas,Male,25-34 years,17.0,444.0,18.0,0.0
2021,Kansas,Male,35-44 years,83.0,667.0,59.0,0.0
2021,Kansas,Male,45-54 years,182.0,1014.0,127.0,0.0
2021,Kansas,Male,55-64 years,366.0,2407.0,257.0,0.0
2021,Kansas,Male,65-74 years,533.0,3826.0,455.0,0.0
2021,Kansas,Male,75-84 years,514.0,3851.0,452.0,0.0
2021,Kansas,Male,85 years and over,419.0,3635.0,358.0,0.0
2021,Kansas,Female,Under 1 year,0.0,70.0,0.0,0.0
2021,Kansas,Female,1-4 years,0.0,14.0,0.0,0.0
2021,Kansas,Female,5-14 years,0.0,21.0,0.0,0.0
2021,Kansas,Female,15-24 years,0.0,105.0,0.0,0.0
2021,Kansas,Female,25-34 years,17.0,188.0,12.0,0.0
2021,Kansas,Female,35-44 years,48.0,396.0,33.0,0.0
2021,Kansas,Female,45-54 years,103.0,659.0,78.0,0.0
2021,Kansas,Female,55-64 years,263.0,1663.0,215.0,0.0
2021,Kansas,Female,65-74 years,359.0,2600.0,305.0,0.0
2021,Kansas,Female,75-84 years,369.0,3523.0,370.0,0.0
2021,Kansas,Female,85 years and over,513.0,5538.0,409.0,0.0
2022,Kansas,Male,Under 1 year,0.0,100.0,0.0,0.0
2022,Kansas,Male,1-4 years,0.0,13.0,0.0,0.0
2022,Kansas,Male,5-14 years,0.0,35.0,0.0,0.0
2022,Kansas,Male,15-24 years,0.0,272.0,0.0,0.0
2022,Kansas,Male,25-34 years,19.0,437.0,17.0,0.0
2022,Kansas,Male,35-44 years,39.0,648.0,26.0,0.0
2022,Kansas,Male,45-54 years,81.0,896.0,73.0,0.0
2022,Kansas,Male,55-64 years,172.0,2222.0,166.0,0.0
2022,Kansas,Male,65-74 years,289.0,3581.0,290.0,10.0
2022,Kansas,Male,75-84 years,374.0,3864.0,359.0,11.0
2022,Kansas,Male,85 years and over,339.0,3637.0,328.0,17.0
2022,Kansas,Female,Under 1 year,0.0,75.0,0.0,0.0
2022,Kansas,Female,1-4 years,0.0,15.0,0.0,0.0
2022,Kansas,Female,5-14 years,0.0,27.0,0.0,0.0
2022,Kansas,Female,15-24 years,0.0,89.0,0.0,0.0
2022,Kansas,Female,25-34 years,0.0,184.0,0.0,0.0
2022,Kansas,Female,35-44 years,26.0,364.0,27.0,0.0
2022,Kansas,Female,45-54 years,58.0,571.0,47.0,0.0
2022,Kansas,Female,55-64 years,139.0,1487.0,135.0,10.0
2022,Kansas,Female,65-74 years,245.0,2692.0,218.0,14.0
2022,Kansas,Female,75-84 years,256.0,3677.0,256.0,22.0
2022,Kansas,Female,85 years and over,358.0,5748.0,340.0,28.0
2023,Kansas,Male,Under 1 year,0.0,76.0,0.0,0.0
2023,Kansas,Male,1-4 years,0.0,0.0,0.0,0.0
2023,Kansas,Male,5-14 years,0.0,20.0,0.0,0.0
2023,Kansas,Male,15-24 years,0.0,167.0,0.0,0.0
2023,Kansas,Male,25-34 years,0.0,279.0,0.0,0.0
2023,Kansas,Male,35-44 years,0.0,364.0,0.0,0.0
2023,Kansas,Male,45-54 years,10.0,607.0,11.0,0.0
2023,Kansas,Male,55-64 years,17.0,1399.0,58.0,0.0
2023,Kansas,Male,65-74 years,43.0,2334.0,133.0,0.0
2023,Kansas,Male,75-84 years,71.0,2658.0,162.0,0.0
2023,Kansas,Male,85 years and over,72.0,2463.0,164.0,0.0
2023,Kansas,Female,Under 1 year,0.0,54.0,0.0,0.0
2023,Kansas,Female,1-4 years,0.0,14.0,0.0,0.0
2023,Kansas,Female,5-14 years,0.0,16.0,0.0,0.0
2023,Kansas,Female,15-24 years,0.0,72.0,0.0,0.0
2023,Kansas,Female,25-34 years,0.0,115.0,0.0,0.0
2023,Kansas,Female,35-44 years,0.0,204.0,0.0,0.0
2023,Kansas,Female,45-54 years,0.0,332.0,23.0,0.0
2023,Kansas,Female,55-64 years,17.0,927.0,52.0,0.0
2023,Kansas,Female,65-74 years,36.0,1721.0,124.0,0.0
2023,Kansas,Female,75-84 years,50.0,2495.0,152.0,0.0
2023,Kansas,Female,85 years and over,96.0,3753.0,204.0,0.0
2020,Kentucky,Male,Under 1 year,0.0,179.0,0.0,0.0
2020,Kentucky,Male,1-4 years,0.0,27.0,0.0,0.0
2020,Kentucky,Male,5-14 years,0.0,48.0,0.0,0.0
2020,Kentucky,Male,15-24 years,0.0,462.0,0.0,0.0
2020,Kentucky,Male,25-34 years,0.0,913.0,18.0,0.0
2020,Kentucky,Male,35-44 years,33.0,1471.0,68.0,0.0
2020,Kentucky,Male,45-54 years,83.0,2308.0,148.0,0.0
2020,Kentucky,Male,55-64 years,266.0,5081.0,474.0,15.0
2020,Kentucky,Male,65-74 years,601.0,6774.0,848.0,19.0
2020,Kentucky,Male,75-84 years,683.0,6810.0,952.0,15.0
2020,Kentucky,Male,85 years and over,584.0,5008.0,672.0,12.0
2020,Kentucky,Female,Under 1 year,0.0,128.0,0.0,0.0
2020,Kentucky,Female,1-4 years,0.0,17.0,0.0,0.0
2020,Kentucky,Female,5-14 years,0.0,42.0,0.0,0.0
2020,Kentucky,Female,15-24 years,0.0,178.0,0.0,0.0
2020,Kentucky,Female,25-34 years,0.0,422.0,17.0,0.0
2020,Kentucky,Female,35-44 years,16.0,740.0,49.0,0.0
2020,Kentucky,Female,45-54 years,65.0,1453.0,121.0,0.0
2020,Kentucky,Female,55-64 years,206.0,3335.0,339.0,16.0
2020,Kentucky,Female,65-74 years,420.0,5219.0,612.0,20.0
2020,Kentucky,Female,75-84 years,654.0,6734.0,797.0,13.0
