Year,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
2022,United States,Male,65-74 years,31138.0,386374.0,36167.0,866.0
2022,United States,Male,75-84 years,37699.0,428309.0,42665.0,1032.0
2022,United States,Male,85 years and over,33991.0,368880.0,35046.0,898.0
2022,United States,Female,Under 1 year,108.0,9203.0,170.0,7.0
2022,United States,Female,1-4 years,77.0,1808.0,115.0,35.0
2022,United States,Female,5-14 years,116.0,2672.0,112.0,56.0
2022,United States,Female,15-24 years,258.0,9671.0,277.0,46.0
2022,United States,Female,25-34 years,962.0,22056.0,980.0,85.0
2022,United States,Female,35-44 years,2176.0,38365.0,2282.0,154.0
2022,United States,Female,45-54 years,4962.0,68692.0,5350.0,213.0
2022,United States,Female,55-64 years,12669.0,163698.0,14661.0,580.0
2022,United States,Female,65-74 years,22367.0,284075.0,26302.0,919.0
2022,United States,Female,75-84 years,29684.0,397843.0,32889.0,1143.0
2022,United States,Female,85 years and over,39330.0,564950.0,37509.0,1448.0
2023,United States,Male,Under 1 year,25.0,7141.0,86.0,8.0
2020,United States,Male,25-34 years,1669.0,52133.0,1717.0,115.0
2020,United States,Male,35-44 years,4501.0,68878.0,3945.0,187.0
2020,United States,Male,45-54 years,12313.0,120496.0,10441.0,448.0
2020,United States,Male,55-64 years,29295.0,272307.0,27422.0,932.0
2020,United States,Male,65-74 years,50519.0,393033.0,48089.0,1049.0
2020,United States,Male,75-84 years,59503.0,429448.0,56123.0,954.0
2020,United States,Male,85 years and over,51216.0,395173.0,46997.0,736.0
2020,United States,Female,Under 1 year,18.0,8752.0,98.0,11.0
2020,United States,Female,1-4 years,11.0,1508.0,71.0,23.0
2020,United States,Female,5-14 years,31.0,2270.0,79.0,38.0
2020,United States,Female,15-24 years,240.0,9373.0,299.0,42.0
2020,United States,Female,25-34 years,957.0,21750.0,1080.0,115.0
2020,United States,Female,35-44 years,2291.0,36110.0,2393.0,169.0
2020,United States,Female,45-54 years,6030.0,71495.0,6396.0,318.0
2020,United States,Female,55-64 years,16299.0,169709.0,17554.0,690.0
2020,United States,Female,65-74 years,31813.0,282907.0,31429.0,829.0
2020,United States,Female,75-84 years,46816.0,393590.0,42337.0,940.0
2020,United States,Female,85 years and over,71679.0,618167.0,54762.0,1067.0
2021,United States,Male,Under 1 year,84.0,10939.0,154.0,4.0
2021,United States,Male,1-4 years,34.0,2121.0,84.0,6.0
2021,United States,Male,5-14 years,102.0,3505.0,135.0,1.0
2021,United States,Male,15-24 years,967.0,28143.0,774.0,9.0
2021,United States,Male,25-34 years,4306.0,58368.0,3249.0,9.0
2021,United States,Male,35-44 years,10700.0,82180.0,7901.0,22.0
2021,United States,Male,45-54 years,25044.0,136582.0,18633.0,39.0
2021,United States,Male,55-64 years,48336.0,294232.0,40151.0,107.0
2021,United States,Male,65-74 years,65191.0,420074.0,59492.0,164.0
2021,United States,Male,75-84 years,62240.0,433040.0,59314.0,116.0
2021,United States,Male,85 years and over,43206.0,374303.0,42811.0,78.0
2021,United States,Female,Under 1 year,84.0,9043.0,125.0,3.0
2021,United States,Female,1-4 years,33.0,1718.0,85.0,1.0
2021,United States,Female,5-14 years,83.0,2493.0,107.0,4.0
2020,Alaska,Male,Under 1 year,0.0,30.0,0.0,0.0
2020,United States,Male,Under 1 year,34.0,10893.0,144.0,10.0
2020,United States,Male,1-4 years,14.0,2031.0,63.0,38.0
2020,United States,Male,5-14 years,38.0,3374.0,94.0,38.0
2020,United States,Male,15-24 years,379.0,26642.0,477.0,38.0
2020,Alabama,Male,Under 1 year,0.0,236.0,0.0,0.0
2020,Alabama,Male,1-4 years,0.0,50.0,0.0,0.0
2020,Alabama,Male,5-14 years,0.0,68.0,0.0,0.0
2020,Alabama,Male,15-24 years,0.0,548.0,0.0,0.0
2020,Alabama,Male,25-34 years,30.0,945.0,31.0,0.0
2020,Alabama,Male,35-44 years,73.0,1376.0,71.0,0.0
2020,Alabama,Male,45-54 years,211.0,2427.0,151.0,0.0
2020,Alabama,Male,55-64 years,530.0,5628.0,418.0,24.0
2020,Alabama,Male,65-74 years,993.0,8015.0,793.0,25.0
2020,Alabama,Male,75-84 years,1041.0,8083.0,823.0,13.0
2020,Alabama,Male,85 years and over,679.0,5631.0,537.0,0.0
2020,Alabama,Female,Under 1 year,0.0,167.0,0.0,0.0
2020,Alabama,Female,1-4 years,0.0,38.0,0.0,0.0
2020,Alabama,Female,5-14 years,0.0,35.0,0.0,0.0
2020,Alabama,Female,15-24 years,0.0,188.0,0.0,0.0
2020,Alabama,Female,25-34 years,17.0,415.0,21.0,0.0
2020,Alabama,Female,35-44 years,54.0,784.0,35.0,0.0
2020,Alabama,Female,45-54 years,168.0,1635.0,111.0,0.0
